x_in,y_in,w_in,x_out,y_out,w_out
1313.3,-481.45,197.17,487.81,364.89,-535.6
1305.5,-487.63,217.81,665.8,271.76,-610.76
1281.7,-486.97,215.19,564.95,318.06,-594.42
1336.3,-502.85,208.7,648.28,311.89,-630.49
1285.5,-495.5,215.15,637.08,311.27,-611.05
384.33,-318.46,-166.63,266.94,138.93,-272.17
330.68,-281.17,-157.15,208.17,138.86,-252.41
323.97,-274.13,-159.6,216.59,124.56,-265.36
384.17,-318.16,-157.71,256.85,156.54,-272.75
374.78,-319.91,-151.61,235.73,160.08,-255.06
366.97,-315.84,-157.88,246.87,149.59,-261.83
391.3,-315.65,169.25,152.65,140.7,-193.42
391.78,-313.46,165.17,172.2,138.17,-204.25
387.41,-315.23,166.94,161.71,142.66,-204.11
308.47,-257.42,167.45,127.43,105.4,-202.23
339.06,-285.17,165.37,147.77,121.27,-204.05
346.69,-293.74,160.46,153.68,114.43,-214.09
190.42,-243.1,789,43.482,87.704,498.84
188.72,-244.75,792.35,22.503,92.295,441.16
189.73,-242.79,795.33,52.211,92.374,479.15
188.64,-245.38,793.27,32.213,88.581,465.15
191.05,-243.42,787.59,27.539,92.705,438.79
190.89,-241.69,794.26,24.59,94.835,436.87
1188.5,-666.57,226.61,448.39,328.34,-508.72
1199.2,-690.1,237.26,516.28,318.03,-522.15
1214.4,-686.96,224.68,412.25,354.18,-467.39
1181.9,-658.1,234.08,454.21,307.3,-484.13
1271.3,-693.03,241.25,504.7,345.57,-543.87
1264.5,-709.94,259.35,340.47,362.71,-425.55
331.4,-368.21,-160.97,221.64,147.07,-235.73
308.49,-349.32,-156.81,187.9,142.46,-220.31
307.32,-355.96,-159.32,189.19,147.78,-217.84
315.79,-359.98,-156.55,209.21,147.37,-231.73
315.68,-363.31,-155.05,211.28,145.82,-227.54
326.51,-366.43,-155.29,219.74,144.64,-235.42
339.33,-360.52,162.91,140.56,143.46,-176.02
311.38,-333.3,165.42,117.61,129.04,-165.26
316.7,-340.35,165.9,113.59,135.1,-164.31
314.06,-333.55,167.63,117.15,131.36,-168.49
325.14,-351.08,165.77,134.2,133.91,-185.64
327.48,-353.64,170.2,129.04,133.89,-175.7
173.95,-261.68,799.11,24.52,95.376,465.84
173.42,-263.76,797,-0.80585,89.509,418.74
169.25,-260.4,799.29,30.439,90.653,485.09
166.48,-260.33,792.63,9.6746,91.01,445.43
166.57,-259.72,794.66,14.005,90.542,455.15
168.94,-264.93,789.07,-32.365,91.822,364.46
1075.9,-934.01,231.16,351.62,334.54,-436.12
1091.2,-930.93,238.37,316.13,327.21,-386.73
1060,-899.08,230.85,333.88,327.14,-374.9
